SurveyID,Year,Date,Round,Time1,Obs1,Obs2,RouteName,SunTime,SiteName,PointOrder,PointID,Treatment,WindSpeed,WindDir,Temp,SkyCode,NoiseLevel,NoiseCode,NoiseNotes,StartTime,SpeciesTargetWetland,SpeciesinArea,Notes,ImageID,DataCheckDate,DataEntryNotes
1,2015,5/20/2015,1,PM,NH,SS,East Park,21:01,East Park,1,EPC1,Control,2.4,NA,NA,1,42,1,frogs,18:32," RWBL, YHBL, COYE",none,DEA on survey; SS used wrong recording? Two AMBI flew overhead exiting target wetland,No ID,11/21/2015,NONE
2,2015,5/20/2015,1,PM,NH,SS,East Park,21:01,East Park,2,EPC2,Control,5.4,NA,70.2,0,44,0,NA,19:18,"RWBL, YHBL, COLO, AMRE, WIWA, Sparrow (white belly, pink bill, brown cheek, white eyestripe)",MODO,DEA on survey,No ID,11/21/2015,NONE
3,2015,5/20/2015,1,PM,NH,SS,East Park,21:01,East Park,3,EPS4,Spray,3.4,NA,68.4,0,37,0,RWBL,19:55,"HOME, RNDU, 2 COLO, NSHO, YEWA, RWBL, YHBL, COYE",RUGR?,DEA on survey,No ID,11/21/2015,NONE
4,2015,5/20/2015,1,PM,NH,SS,East Park,21:01,East Park,4,EPS5,Spray,6.5,NA,66.5,0,37,1,frogs behind to North,20:14,"TRES, YEWA, RNDU, BUFF, RWBL, YHBL","CAGO, BARS",DEA on survey,No ID,11/21/2015,NONE
5,2015,5/20/2015,1,PM,NH,SS,East Park,21:01,East Park,5,EPC6,Control,3.7,NA,64.4,0,NA,1,frogs to North,20:33,"NOFL, COYE, AMRO, RWBL, YHBL, TRES, BARS",MODO,DEA on survey,No ID,11/21/2015,NONE
6,2015,5/21/2015,1,PM,NH,0,Eckvoll,21:05,Eckvoll,1,EVS1,Spray,5.2,NW,65.1,1,35,0,NA,19:23,"AMRO, BWTE, RWBL, BARS?, COYE, TRES, MALL",MODO,"none, site very quiet, points not great - on the other side of channel about 20m from edge with willows in between",No ID,11/21/2015,NONE
7,2015,5/21/2015,1,PM,NH,0,Eckvoll,21:05,Eckvoll,2,EVS2,Spray,5,NW,65.2,1,33,0,NA,19:42,"YEWA, MALL, BWTE","CAGE, AMRO",points not great - on the other side of channel about 20m from edge with willows in between,No ID,11/21/2015,NONE
8,2015,5/21/2015,1,PM,NH,0,Eckvoll,21:05,Eckvoll,3,EVS3,Spray,4.2,NW,64.2,0,50,2,frogs to NW!,20:04,"RWBL, GRYE, BARS, YPWA",none,points not great - on the other side of channel about 20m from edge with willows in between,No ID,11/21/2015,NONE
9,2015,5/21/2015,1,PM,NH,0,Eckvoll,21:05,Eckvoll,4,EVS4,Spray,2.4,W,64.2,0,41,1,frogs,20:21,"YEWA, RWBL, BUFF, BAEA, YPWA",NOFL,"Drumming to N during whole survey, whole site very quiet, points not great - on the other side of channel about 20m from edge with willows in between",No ID,11/21/2015,NONE
10,2015,5/21/2015,1,PM,NH,0,Eckvoll,21:05,Eckvoll,5,EVC5,Control,3,NA,60.2,NA,NA,1,stupid CAGO,20:38,"TRES, RWBL, MAWR","CAGO, BUFF, TRES, RNDU, GADW","CAGO loud, points not great - on the other side of channel about 20m from edge with willows in between",No ID,11/21/2015,NONE
11,2015,5/21/2015,1,PM,NH,0,Eckvoll,21:05,Eckvoll,6,EVC6,Control,NA,NW,NA,0,35,1,frogs,20:57,"RWBL, YEWA, COYE",none,none,No ID,11/21/2015,NONE
12,2015,5/21/2015,1,PM,SS,0,Elm Lake,NA,Elm Lake,1,ELC1,Control,7.4,NW,65.2,0,70,1,wind,18:49,"BWTE, TRES, SOSP, NOHA","MODO, CAGO",Frogs; maybe point too far from marsh?,Image 3978,11/22/2015,NONE
13,2015,5/21/2015,1,PM,SS,0,Elm Lake,NA,Elm Lake,2,ELC2,Control,8.4,NW,64.5,0,77,1,wind,19:10,"NOHA, CAGO, RWBL, SOSP, COYE, BWTE, EAKI",MODO,Lots of dry areas throughout this survey point,Image 3979,11/22/2015,NONE
14,2015,5/21/2015,1,PM,SS,0,Elm Lake,NA,Elm Lake,3,ELS3,Spray,5.4,NW,65,0,LO,0,NA,19:39,"RWBL, COYE, Sparrow  (Image 3981)","MODO, RUGR",Frogs,Image 3980,11/22/2015,NONE
15,2015,5/21/2015,1,PM,SS,0,Elm Lake,NA,Elm Lake,4,ELS4,Spray,4.5,NW,63.3,0,69,0,NA,20:01,"TRES, RWBL, COYE",CAGO,none,Image 3983,11/22/2015,NONE
16,2015,5/21/2015,1,PM,SS,0,Elm Lake,NA,Elm Lake,5,ELS5,Spray,3,NW,61.9,0,LO,0,NA,20:24,"RWBL, COYE, NOHA","MODO, 2 TRUS, CAGO",A little overwhelmed during survey,Image 3984,11/22/2015,NONE
17,2015,5/21/2015,1,PM,SS,0,Elm Lake,NA,Elm Lake,6,ELS6,Spray,3,W,60.8,0,LO,0,NA,20:43,"RWBL, SOSP","MODO, CAGO, RUGR",Beaver,Image 3985,11/22/2015,NONE
18,2015,5/21/2015,1,PM,SS,0,Elm Lake,NA,Elm Lake,7,ELC7,Control,2.2,W,58.5,0,LO,0,frogs,21:05,"RWBL, COYE",MODO,Frogs,Image 3986,11/22/2015,NONE
19,2015,5/21/2015,1,PM,SS,0,Elm Lake,NA,Elm Lake,8,ELC8,Control,1.5,W,54.5,0,LO,2,CAGO loud for 2nd half of survey,21:24,"COYE, CAGO","CAGO, Owl","CAGO flew over during second half of survey, hard to hear; angry beaver! Point is far from target wetland",Image 3987,11/22/2015,NONE
20,2015,5/22/2015,1,AM,SS,NH,Twin Lakes,NA,Twin Lakes,1,TLS1,Spray,0,0,43.6,0,LO,2,"cows, cars",5:23,"COYE, RWBL, CAGO, RUGR, BWTE",none,Cows and cars,Image 3989,10/22/2015,NONE
21,2015,5/22/2015,1,AM,SS,NH,Twin Lakes,NA,Twin Lakes,2,TLS2,Spray,0,0,42.6,0,LO,2,"cows, cars consistently loud in min 1, 2, 3, 4",5:51,"COYE, RWBL, CAGO, SOSP",MODO,"Frogs, cows and cars loud",Image 3990,10/22/2015,NONE
22,2015,5/22/2015,1,AM,SS,NH,Twin Lakes,NA,Twin Lakes,3,TLC3,Control,0,0,44.2,0,52,2,"cows, cars, CAGO",6:19,RWBL,"RUGR, MODO, CAGO","Cows, cars and geese loud",Image 3991,10/22/2015,NONE
23,2015,5/22/2015,1,AM,SS,NH,Twin Lakes,NA,Twin Lakes,4,TLS4,Spray,0.8,0,47.1,0,50,2,"cars, CAGO",6:45,"CAGO, RWBL, SOSP, COYE, BWTE, woodpecker","RUGR, BAEA + nest","CAGO landed min 3-4 honking very loudly, cars loud; too far from spray area-to be dropped R2",Image 3995,10/22/2015,NONE
24,2015,5/22/2015,1,AM,SS,NH,Twin Lakes,NA,Twin Lakes,5,TLC5,Control,2,E,56,0,59,2,cars,7:11,"COYE, RWBL, AMRO, CAGO, SACR, TRES",RBGR,Cars loud,"Image 3996 (E), 3999 (W)",10/22/2015,NONE
25,2015,5/22/2015,1,AM,SS,NH,Twin Lakes,NA,Twin Lakes,6,TLC7,Control,3.8,NA,62.5,0,70,1,NA,8:43,"COYE, RWBL, CAGO, TRES",AMRE,none,Image 4000,10/22/2015,NONE
26,2015,5/22/2015,1,PM,SS,NH,Thief Lake,21:07,Thief Lake,1,THS8,Spray,3.8,W,74,0,61,2,frogs loud,19:04,"CAGO, TRES, GADW, AWPE, FOTE",none,Frogs loud,Image 4007,10/21/2015,NONE
27,2015,5/22/2015,1,PM,SS,NH,Thief Lake,21:07,Thief Lake,2,THC6,Control,4.7,W,71.6,0,61,1,CAGO loud min 1-3,19:29,"CAGO, FOTE, RWBL, BWTE",none,CAGO loud; many PBGR calling throughout most of survey within this range,Image 4008,10/21/2015,NONE
28,2015,5/22/2015,1,PM,SS,NH,Thief Lake,21:07,Thief Lake,3,THS4,Spray,2.7,W,70.2,0,68,1,frogs loud,19:59,"RWBL, COYE, CAGO",none,Frogs loud,"Image 4010 (N), 4009 (S)",10/21/2015,NONE
29,2015,5/22/2015,1,PM,SS,NH,Thief Lake,21:07,Thief Lake,4,THC3,Control,0,0,72.4,0,54,1,frogs,20:16,"MODO, CAGO, RUGR, COYE",none,Frogs loud,"Image 4012 (S), 4011 (N)",10/21/2015,NONE
30,2015,5/22/2015,1,PM,SS,NH,Thief Lake,21:07,Thief Lake,5,THC2,Control,0.6,0,65,0,61,3,frogs,20:36,"MODO, CAGO",none,Frogs loud,"Image 4015 (S), 4014 (N)",10/21/2015,NONE
31,2015,5/22/2015,1,PM,SS,NH,Thief Lake,21:07,Thief Lake,6,THS1,Spray,0,0,60.4,0,63,1,NA,21:00,"SACR, COLO, YHBL, RWBL, CAGO",none,none,"Image 4020 (E), 4019 (W)",10/21/2015,NONE
32,2015,5/23/2015,1,PM,NH,0,Beaches Lake,21:11,Beaches Lake,1,BLS1,Spray,1.5,W,80.2,0,42,1,some frogs,19:09,"RWBL, YEWA",none,Sharp tailed grouse flushed from road side on drive here. could hear drumming nearby (grouse or RNEP?),No ID,10/22/2015,NONE
33,2015,5/23/2015,1,PM,NH,0,Beaches Lake,21:11,Beaches Lake,2,BLS2,Spray,0,0,78.7,0,47,0,frogs,19:54,"RWBL, MODO, CAGO, YEWA, AMRO","NOFL, Flycatcher",none,No ID,10/22/2015,NONE
34,2015,5/23/2015,1,PM,NH,0,Beaches Lake,21:11,Beaches Lake,3,BLC3,Control,0,0,70.7,0,43,0,NA,20:46,"TRES, RWBL, BWTE, MODO, YEWA, MAWR, AMRO, Woodpecker",SACR,none,No ID,10/22/2015,NONE
35,2015,5/23/2015,1,PM,NH,0,Beaches Lake,21:11,Beaches Lake,4,BLC4,Control,1.2,NA,71.7,0,46,1,frogs,21:07,"YEWA, RWBL, MAWR, RWBL","NOHA, SACR","Faint AMBI sounds from NW, not distinct enough for direction; woody veg mix, wetland site to the south of road",No ID,10/22/2015,NONE
36,2015,5/24/2015,1,AM,NH,0,Roseau River East,NA,Roseau River East,1,RES1,Spray,0,0,57.6,0,41,0,NA,5:13,"YHBL, CAGO, MAWR, BWTE, RWBL, WODU, SACR",none,NONE,NONE,11/11/2015,NONE
37,2015,5/24/2015,1,AM,NH,0,Roseau River East,NA,Roseau River East,2,RES2,Spray,1.7,NA,46.6,0,42,1,NA,5:34,"RWBL, YHBL, MALL, RNDU, GADW, NSHO, COGR, BWTE (nesting), SACR, COYE, BUFF, REDH",none,NONE,NONE,11/11/2015,NONE
38,2015,5/24/2015,1,AM,NH,0,Roseau River East,NA,Roseau River East,3,RES3,Spray,0,E,52.4,0,42,1,CAGO loud,6:03,"TRES, CAGO, COYE, KILL, RWBL, YHBL, MAWR",none,"AMBI hard to determine how many, at least 3 more likely I could hear 5 all in general NW direction from point",NONE,11/11/2015,NONE
39,2015,5/24/2015,1,AM,NH,0,Roseau River East,NA,Roseau River East,4,RES4,Spray,1.8,E,56.7,0,38,1,NA,NA,"RWBL, MAWR, CAGO, SACR",none,NONE,NONE,11/11/2015,NONE
40,2015,5/24/2015,1,AM,NH,0,Roseau River East,NA,Roseau River East,5,REC5,Control,1.1,E,57.7,0,42,1,NA,NA,"CAGO, RWBL, YEWA, RNDU, COYE, NSHO",SACR,"so many AMBI, soft and difficult to tell how many probably at least 8",NONE,11/11/2015,NONE
41,2015,5/24/2015,1,AM,NH,0,Roseau River East,NA,Roseau River East,6,REC6,Control,1.2,E,60.2,0,38,0,NA,7:00,"TRES, CAGO, KILL, BARS, GBHE, RWBL, YEWA",SACR,so many AMBI calling softly,NONE,11/11/2015,NONE
42,2015,5/24/2015,1,AM,NH,0,Roseau River East,NA,Roseau River East,7,REC7,Control,0,0,67.6,0,38,0,NA,7:20,"CAGO family, COYE, RNDU, BWTE, 3 WISN",none,NONE,NONE,11/11/2015,NONE
43,2015,5/24/2015,1,AM,NH,0,Roseau River East,NA,Roseau River East,8,REC8,Control,0,0,72.2,0,35,0,NA,7:36,"WISN 11, SACR, BWTE, CAGO, GADW",none,WISN to west and overhead,NONE,11/11/2015,NONE
44,2015,5/24/2015,1,PM,NH,0,Pembina,21:07,Pembina,1,PBS8,Spray,5.6,SW,74.6,2,38,0,NA,19:21,"YHBL, SACR, PBGR, MAWR, RWBL, BWTE, CAGO",none,NONE,NONE,10/20/2015,NONE
45,2015,5/24/2015,1,PM,NH,0,Pembina,21:07,Pembina,2,PBS7,Spray,4.5,SW,75.5,2,48,1,NA,19:37,"RWBL, YHBL, CAGO, RNDU",none,NONE,NONE,10/20/2015,NONE
46,2015,5/24/2015,1,PM,NH,0,Pembina,21:07,Pembina,3,PBS6,Spray,2,SW,71.6,2,42,1,NA,20:01,"BWTE, SACR, EAKI, RWBL, TRES, MODO, MAWR",none,NONE,NONE,10/20/2015,NONE
47,2015,5/24/2015,1,PM,NH,0,Pembina,21:07,Pembina,4,PBS5,Spray,2.5,SW,68.8,2,36,0,NA,20:19,"RWBL, MALL, WODU, MAWR, SOSP, MODO, YEWA",none,NONE,NONE,10/20/2015,NONE
48,2015,5/24/2015,1,PM,NH,0,Pembina,21:07,Pembina,5,PBC4,Control,1.9,SW,68,2,42,1,NA,20:50,"SACR, CAGO, RWBL",TRSW,NONE,NONE,10/20/2015,NONE
49,2015,5/24/2015,1,PM,NH,0,Pembina,21:07,Pembina,6,PBC3,Control,NA,NA,72.5,0,47,1,NA,21:09,"AMWO, RWBL, MODO, SOSP",none,NONE,NONE,10/20/2015,NONE
50,2015,5/24/2015,1,PM,NH,0,Pembina,21:07,Pembina,7,PBC2,Control,NA,NA,70.4,0,42,1,NA,20:22,"CAGO, MAWR, MALL, YEWA",none,pointed speakers to E,NONE,10/20/2015,NONE
51,2015,5/24/2015,1,PM,NH,0,Pembina,21:07,Pembina,8,PBC1,Control,NA,NA,70.5,2,42,1,NA,20:46,"CAGO, AMWO",none,"pointed speakers to S, late?",NONE,10/20/2015,NONE
52,2015,5/24/2015,1,PM,SS,0,Roseau River West,NA,Roseau River West,1,RWS12,Spray,0,0,50,0,LO,1,birds,5:44,"CAGO, RWBL",MODO,none,Image 4029,11/22/2015,NONE
53,2015,5/24/2015,1,PM,SS,0,Roseau River West,NA,Roseau River West,2,RWS11,Spray,0.8,E,51,0,LO,1,birds,6:02,"CAGO, RWBL, TRES",MODO,none,Image 4034,11/22/2015,NONE
54,2015,5/24/2015,1,PM,SS,0,Roseau River West,NA,Roseau River West,3,RWC10,Control,0.6,E,54,0,LO,0,NA,6:21,"CAGO, RWBL, RNDU, COYE",none,none,Image 4035,11/22/2015,NONE
55,2015,5/24/2015,1,PM,SS,0,Roseau River West,NA,Roseau River West,4,RWC9,Control,0,E,57.3,0,51,1,CAGO,6:45,"CAGO, BUFF, TRUS, TRES, RWBL",MODO,CAGO loud,Image 4036,11/22/2015,NONE
56,2015,5/26/2015,1,PM,NH,0,Manston,5:19,Manston,1,MNS2,Spray,1.7,SSE,74.1,2,50,1,oud frogs to west,19:36,"RWBL, MALL, YHBL, MAWR, COYE, WODU, BARS","CAGO, MODO, EAKI, SWSP","Loud frogs to west, speakers to south",No ID,10/22/2015,NONE
57,2015,5/26/2015,1,PM,NH,0,Manston,5:19,Manston,2,MNS4,Spray,0.7,SE,72.5,2,50,1,frogs,20:24,"BWTE, MAWR, TRES, RWBL, COYE, BARS, CAGO","MODO, SACR, WITU, RNEP",none,No ID,10/22/2015,NONE
58,2015,5/26/2015,1,PM,NH,0,Manston,5:19,Manston,3,MNC5,Control,0.9,NE,67.8,2,43,1,frogs,20:57,"RWBL, TRES, MAWR, BOBO",RNEP,VIRA responds to YERA call,No ID,10/22/2015,NONE
59,2015,5/26/2015,1,PM,NH,0,Manston,5:19,Manston,4,MNC6,Control,1.7,NA,66.7,2,53,1,frogs,21:16,"NSHO, BWTE, MAWR, RWBL, COYE","CAGO, RNEP, KILL","Shoulder soft, park and walk down",No ID,10/22/2015,NONE
60,2015,6/8/2015,2,AM,SS,0,Elm Lake,5:24,Elm Lake,1,ELC1,Control,2.2,SW,58.8,2,53,1,traffic,5:24,"COYE, RWBL, SOSP, SACR","CAGO, MODO, MALL, Woodpecker",Frogs,Image 4194,11/22/2015,NONE
61,2015,6/8/2015,2,AM,SS,0,Elm Lake,5:24,Elm Lake,2,ELC2,Control,0,0,58.9,2,52,1,traffic,5:41,"NSHO, BWTE, SOSP, COYE, SACR, RWBL","MODO, RUGR",Frogs,Image 4195,11/22/2015,NONE
62,2015,6/8/2015,2,AM,SS,0,Elm Lake,5:24,Elm Lake,3,ELS3,Spray,2.2,NW,56.6,2,52,0,NA,6:04,"RWBL, TRES, CAGO, COYE",MODO,none,"Image 4196, 4197 (other side of levee)",11/22/2015,NONE
63,2015,6/8/2015,2,AM,SS,0,Elm Lake,5:24,Elm Lake,4,ELS4,Spray,2.4,W,58.8,2,57,0,NA,6:30,"RWBL, SOSP, CAGO, TRUS, Black blackbird",MODO,none,Image 4198,11/22/2015,NONE
64,2015,6/8/2015,2,AM,SS,0,Elm Lake,5:24,Elm Lake,5,ELS5,Spray,2.1,W,59.6,2,57,0,NA,6:48,"COYE, RWBL, CAGO, TRES",none,none,Image 4199,11/22/2015,NONE
65,2015,6/8/2015,2,AM,SS,0,Elm Lake,5:24,Elm Lake,6,ELS6,Spray,3,W,60.4,1,65,0,NA,7:05,"TRUS, RWBL, COYE, CAGO","MODO, RNEP",none,Image 4200,11/22/2015,NONE
66,2015,6/8/2015,2,AM,SS,0,Elm Lake,5:24,Elm Lake,7,ELC7,Control,1.7,NW,60.6,1,LO,0,NA,7:27,"RWBL, CAGO, COYE",MODO,Frogs,Image 4201,11/22/2015,NONE
67,2015,6/8/2015,2,AM,SS,0,Elm Lake,5:24,Elm Lake,8,ELC8,Control,5.1,W,61.3,1,62,0,NA,7:44,"TRUS, COYE, RWBL, TRES","BLJA, EAKI",none,Image 4202,11/22/2015,NONE
68,2015,6/8/2015,2,PM,SS,0,Twin Lakes,21:24,Twin Lakes,1,TLC7,Control,1.3,NA,76.9,2,LO,1,bugs,18:24,"RWBL, COYE, TRSW",MODO,none,Image 4209,10/22/2015,NONE
69,2015,6/8/2015,2,PM,SS,0,Twin Lakes,21:24,Twin Lakes,2,TLC5,Control,0,0,76.3,2,LO,1,traffic,19:12,"RWBL, COYE, SOSP",MODO,"Frogs, Beaver",Image 4211,10/22/2015,NONE
70,2015,6/8/2015,2,PM,SS,0,Twin Lakes,21:24,Twin Lakes,3,TLC3,Control,0,0,77.5,2,LO,2,"traffic, bugs, frogs",19:34,"RWBL, COYE, SACR",MODO,"Deer, Frogs",Image 4212,10/22/2015,NONE
71,2015,6/8/2015,2,PM,SS,0,Twin Lakes,21:24,Twin Lakes,4,TLS2,Spray,0,0,74.3,2,52,1,"bugs, traffic",19:55,"MALL, RWBL, AMRO, COYE, TRES, CEDW","BARS, RBWO",none,Image 4215,10/22/2015,NONE
72,2015,6/8/2015,2,PM,SS,0,Twin Lakes,21:24,Twin Lakes,5,TLS1,Spray,0,0,72.8,2,LO,1,bugs,20:14,"NOFL, COYE, RWBL",none,Frogs,Image 4216,10/22/2015,NONE
73,2015,6/9/2015,2,AM,NH,0,Eckvoll,5:25,Eckvoll,1,EVS1,Spray,0,0,60,2,40,0,NA,5:30,"BWTE, COYE, BARS, MAWR, RWBL",none,none,No ID,11/22/2015,NONE
74,2015,6/9/2015,2,AM,NH,0,Eckvoll,5:25,Eckvoll,2,EVS2,Spray,0.6,S,60.3,2,42,0,frogs,5:54,"MAWR, AMRO, COYE, YEWA, BARS, RWBL",none,"Cows looing off to west - Agassiz, check location of call from RI",No ID,11/22/2015,NONE
75,2015,6/9/2015,2,AM,NH,0,Eckvoll,5:25,Eckvoll,3,EVS3,Spray,1.3,S,60.6,2,38,0,frogs,6:07,"SOSP, COYE",CORA,"drizzle started min 8, sky code from 2 to 5 during survey period",No ID,11/22/2015,NONE
76,2015,6/9/2015,2,AM,NH,0,Eckvoll,5:25,Eckvoll,4,EVS4,Spray,3.8,SW,62.3,5,36,0,frogs,6:25,"Flycatcher, RWBL",none,none,No ID,11/22/2015,NONE
77,2015,6/9/2015,2,AM,NH,0,Eckvoll,5:25,Eckvoll,5,EVC5,Control,1.3,SW,63.9,5,40,0,NA,6:42,"RWBL, COYE, MAWR, YEWA, AMRO, Oriole?",none,none,No ID,11/22/2015,NONE
78,2015,6/9/2015,2,AM,NH,0,Eckvoll,5:25,Eckvoll,6,EVC6,Control,2.3,N,61.5,2,34,0,NA,6:59,"MAWR, RWBL, YEWA, COYE","MODO, CORA","possibly more than one SORA calling, difficult to tell far away",No ID,11/22/2015,NONE
79,2015,6/10/2015,2,AM,NH,0,East Park,5:23,East Park,1,EPC1,Control,0,0,53.4,1,38,0,NA,5:30,"RWBL, YHBL, MAWR, BWTE","MODO, SACR, COLO",Resaved point - not updated on R1,No ID,11/20/2015,NONE
80,2015,6/10/2015,2,AM,NH,0,East Park,5:23,East Park,2,EPC2,Control,0,0,56.7,0,38,0,NA,6:42,"EAKI, RWBL, COYE","COLO, MALL, BAOR",Resaved point - not updated on R1,No ID,11/20/2015,NONE
81,2015,6/10/2015,2,AM,NH,0,East Park,5:23,East Park,3,EPC3,Control,3.7,NW,56,0,36,0,NA,7:16,"COLO, CAGO, COYE, RWBL, YEWA, TRES, BWTE, NOFL, AGWT, MODO, YHBL",MODO,"Extra point, to N",No ID,11/20/2015,NONE
